,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
1204516,nm1030519,Ho-sik Kim,\N,\N,writer,"tt0293715,tt0404254,tt15850384,tt30840535"
1204536,nm1030521,Hyeong-seok Kim,\N,\N,"composer,producer,soundtrack","tt0293715,tt0475750,tt0272681,tt0431504"
1204595,nm1030527,Sun-Min Kim,\N,\N,"editor,producer,writer","tt1190539,tt5215952,tt0468492,tt0353969"
1206213,nm1030706,Jae-young Kwak,1959,\N,"writer,director,actor","tt0293715,tt0929860,tt0985101,tt1723118"
1207287,nm1030819,Jae Hee,1980,\N,"actor,archive_footage","tt0423866,tt0885941,tt5690206,tt3136490"
1213572,nm1031551,Kazushige Nagashima,1966,\N,"actor,producer","tt0876563,tt0353761,tt0395076,tt4747862"
1220848,nm1032371,Michael Rubenfeld,1979,\N,"actor,miscellaneous","tt0425210,tt1632701,tt12869276,tt0332047"
1223023,nm1032614,Reema Sen,1981,\N,actress,"tt1954470,tt1512888,tt0357905,tt0239235"
1223787,nm1032700,Ritesh Sidhwani,\N,\N,"producer,miscellaneous,art_director","tt2395469,tt1562872,tt0292490,tt1787988"
1228119,nm1033153,Kamal Tiwari,\N,\N,actor,"tt0488414,tt4434004,tt1093370,tt0231795"
1231190,nm1033487,Lidia Vitale,1972,\N,"actress,director,writer","tt11773446,tt0346336,tt4025514,tt14091854"
1233053,nm10337629,Viraj Ashwin,1993,\N,actor,"tt11860854,tt25433734,tt13262002,tt25402450"
1234184,nm1033887,Rebecca van Unen,1975,\N,"casting_director,casting_department,assistant_director","tt13110998,tt11280826,tt8633462,tt10521092"
1236024,nm1034122,Michael Lewis,1960,\N,"writer,actor,archive_footage","tt1596363,tt1210166,tt0878804,tt3657682"
1240629,nm10346131,Archana Jois,1994,\N,actress,"tt7838252,tt10698680,tt27128495,tt10251434"
1240630,nm10346132,Ramachandra Raju,1980,\N,"actor,archive_footage","tt7838252,tt13927994,tt15716828,tt13654122"
1241765,nm1034777,Billy Mitchell,\N,\N,actor,"tt0923752,tt8115798,tt3063470,tt6922188"
1242046,nm1034805,Shaan,1972,\N,"music_artist,music_department,actor","tt0439662,tt1024943,tt1187043,tt2338151"
1243072,nm1034914,James Wilson,1965,\N,"producer,miscellaneous,actor","tt1441395,tt1478964,tt7160372,tt5742374"
1244203,nm10350270,Sameer R. Shami,1982,\N,"assistant_director,actor,editor",tt4139928
1244205,nm10350272,Hamza Bajwa,\N,\N,"visual_effects,production_designer","tt4139928,tt16149652"
1246404,nm1035253,Rob Curling,1957,\N,actor,"tt0206634,tt3055402,tt0103498,tt0462077"
1248285,nm10354428,Jack Barton,\N,\N,actor,"tt14230458,tt27129682,tt10405370,tt9686194"
1250196,nm1035643,Frederick Lau,1989,\N,"actor,producer,director","tt4226388,tt1063669,tt3044650,tt6763252"
1250686,nm1035692,Brendan Mackey,\N,\N,actor,"tt0478942,tt0379557,tt1205071,tt0187666"
1254540,nm10360928,Shubham Ghude,\N,\N,writer,tt1562872
