,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
83542,nm0087580,Jase Blankfort,1987,\N,actor,"tt0340377,tt0283530,tt0253586,tt0260596"
83750,nm0087801,Edward Blatchford,\N,\N,"actor,writer","tt0104691,tt0107711,tt0077369,tt0105932"
84051,nm0088127,Alexis Bledel,1981,\N,"actress,producer,soundtrack","tt0238784,tt0401792,tt0403508,tt0283084"
84121,nm0088204,Edie Ichioka,1962,\N,"editor,editorial_department,sound_department","tt0787474,tt0116209,tt0099674,tt7488208"
84640,nm0088744,Kirsten Block,1959,\N,"actress,writer","tt0816442,tt0976051,tt1037061,tt0337782"
84750,nm0088860,Peter Blok,1960,\N,"actor,writer,soundtrack","tt2635730,tt1674553,tt0375662,tt0477216"
84838,nm0088955,Neill Blomkamp,1979,\N,"director,writer,visual_effects","tt1136608,tt1535108,tt1823672,tt13392012"
84847,nm0088964,Susan Blommaert,\N,\N,actress,"tt2741602,tt0098084,tt0106179,tt0098844"
84987,nm0089112,Willi One Blood,\N,\N,"actor,soundtrack","tt0110413,tt0109686,tt0116707,tt0128165"
85090,nm0089217,Orlando Bloom,1977,\N,"actor,producer,soundtrack","tt0120737,tt0325980,tt0167260,tt0167261"
85214,nm0089348,Roberts Blossom,1924,2011,"actor,soundtrack,archive_footage","tt0079116,tt0075860,tt0099785,tt0114214"
85317,nm0089458,Nigel Bluck,\N,\N,"cinematographer,camera_department","tt0120737,tt0452631,tt11291274,tt2452200"
85318,nm0089459,Richard Bluck,\N,\N,"cinematographer,camera_department,visual_effects","tt0167261,tt0779982,tt1136608,tt0499549"
85500,nm0089658,Jason Blum,1969,\N,"producer,executive,archive_footage","tt5052448,tt7349662,tt8244784,tt1051906"
85658,nm0089820,Jason Blumenthal,\N,\N,"producer,writer,executive","tt0814314,tt11671006,tt0454921,tt0448011"
85667,nm0089829,Lynn Blumenthal,\N,\N,"casting_director,casting_department,director","tt0115639,tt0107050,tt0120324,tt0166896"
85777,nm0089944,John Bluthal,1929,2018,"actor,writer,soundtrack","tt0119116,tt0086393,tt0091369,tt0059260"
86084,nm0090283,Kunchacko Boban,1976,\N,"actor,producer","tt10717738,tt14188930,tt6315524,tt8941440"
86112,nm0090312,Sean Bobbitt,1958,\N,"cinematographer,camera_department,miscellaneous","tt2024544,tt0986233,tt1723811,tt1817273"
86519,nm0090741,Gavin Bocquet,1953,\N,"production_designer,art_department,art_director","tt0120915,tt0121766,tt0103586,tt14688458"
86638,nm0090867,Kristina Boden,\N,\N,"editor,editorial_department,producer","tt0106519,tt0086984,tt0989757,tt0387514"
86914,nm0091153,David Boeddinghaus,\N,\N,"composer,music_department,soundtrack",tt0109508
87004,nm0091250,Todd Boekelheide,\N,\N,"composer,sound_department,music_department","tt4126312,tt0102015,tt0086879,tt0137523"
87038,nm0091286,Earl Boen,1941,2023,"actor,soundtrack,archive_footage","tt0103064,tt0181852,tt0088247,tt0085894"
87116,nm0091369,Richard Boes,1949,2009,"actor,archive_footage","tt0088184,tt0090967,tt0102536,tt0112817"
87419,nm0091686,Hagen Bogdanski,1965,\N,"director,cinematographer,camera_department","tt0405094,tt2101473,tt1321860,tt5093026"
87769,nm0092061,Adam Bohling,\N,\N,"producer,production_manager,location_management","tt2066051,tt2802144,tt0375912,tt15009428"
87771,nm0092063,Don Bohlinger,\N,\N,"writer,script_department,miscellaneous","tt0250258,tt0997152,tt1370431,tt0093347"
87870,nm0092169,Sunil Bohra,1972,\N,"producer,writer,director","tt6986710,tt1954470,tt1694542,tt2181831"
88076,nm0092384,Noëlle Boisson,1944,\N,"editor,actress,editorial_department","tt0099334,tt0095800,tt0082963,tt0338512"
88254,nm0092575,Oliver Bokelberg,1964,\N,"cinematographer,director,producer","tt0340377,tt1837576,tt8741182,tt15421858"
88371,nm0092694,Scot Boland,\N,\N,"casting_director,casting_department,producer","tt0452608,tt0118884,tt0432021,tt0340163"
88458,nm0092790,Jo Edna Boldin,1948,\N,"casting_director,casting_department,producer","tt0477348,tt2582782,tt10696784,tt6412452"
88620,nm0092961,Sarah Bolger,1991,\N,"actress,soundtrack,archive_footage","tt0298845,tt0416236,tt0457495,tt2918436"
89178,nm0093549,David J. Bomba,\N,\N,"production_designer,art_director,art_department","tt0358273,tt2396589,tt5516154,tt0427309"
89189,nm0093560,Mark Bomback,1971,\N,"producer,writer,script_department","tt2103281,tt3450958,tt0335121,tt1386703"
89217,nm0093589,Matt Bomer,1977,\N,"actor,producer,director","tt1637688,tt1684226,tt2268016,tt1915581"
89680,nm0094067,Klaus Bondam,1963,\N,"actor,writer,soundtrack","tt0272993,tt0154420,tt1095423,tt0128007"
89771,nm0094163,Eugenie Bondurant,1961,\N,"actress,director,producer","tt7069210,tt1951266,tt10037014,tt15318872"
89875,nm0094269,Valerio Bonelli,1976,\N,"editor,producer,editorial_department","tt4555426,tt2431286,tt3659388,tt13731400"
89954,nm0094355,Aline Bonetto,\N,\N,"production_designer,set_decorator,art_department","tt0211915,tt0344510,tt0451279,tt1149361"
90031,nm0094435,Bong Joon Ho,1969,\N,"writer,producer,director","tt1706620,tt3967856,tt6751668,tt1216496"
90119,nm0094526,Alessio Boni,1966,\N,"actor,miscellaneous,director","tt0346336,tt1243957,tt6892400,tt0325011"
90365,nm0094786,Jean-Paul Bonnaire,1943,2013,actor,"tt0372824,tt0166927,tt0357111,tt0110171"
90427,nm0094850,Mathilde Bonnefoy,1972,\N,"editor,director,editorial_department","tt0130827,tt4044364,tt0963178,tt0401711"
90584,nm0095013,Maria Bonnevie,1973,\N,"actress,archive_footage","tt0281924,tt10288566,tt0120657,tt0119375"
90588,nm0095017,Hugh Bonneville,1963,\N,"actor,soundtrack,archive_footage","tt6398184,tt1109624,tt4468740,tt0125439"
90833,nm0095272,Michael Bonvillain,\N,\N,"cinematographer,camera_department,assistant_director","tt1060277,tt1156398,tt13146488,tt0411008"
91029,nm0095478,Mark Boone Junior,1955,\N,"actor,producer,writer","tt0209144,tt0389722,tt0372784,tt0322259"
91217,nm0095673,David Booth,\N,\N,"actor,stunts","tt0117571,tt0102900,tt0242733,tt0096316"
91266,nm0095725,Jim Booth,1945,1994,"producer,actor","tt0103873,tt0110005,tt0097858,tt0138529"
92734,nm0097274,Katherine Borowitz,1954,\N,"actress,soundtrack","tt0243133,tt1019452,tt0368222,tt0084917"
93320,nm0097893,Rahul Bose,1967,\N,"actor,writer,director","tt0296621,tt0215196,tt6180274,tt4110568"
93565,nm0098153,Pablo Bossi,\N,\N,"producer,writer,actor","tt0247586,tt5121816,tt10077544,tt21284358"
93782,nm0098378,Kate Bosworth,1983,\N,"actress,producer,archive_footage","tt0348150,tt0478087,tt0300532,tt0335559"
94048,nm0098661,Donatella Botti,\N,\N,"producer,script_department,assistant_director","tt0805488,tt1679625,tt0799911,tt0884811"
94216,nm0098842,Alain Boublil,1941,\N,"writer,actor,music_department","tt1707386,tt1754109,tt1647668,tt1758830"
94679,nm0099326,Jean-Jacques Bouhon,1947,2017,"cinematographer,camera_department,director","tt0372824,tt1397186,tt0076226,tt0095125"
94803,nm0099456,Antoinette Boulat,\N,\N,"director,casting_director,casting_department","tt14369304,tt8847712,tt1321865,tt13649314"
95080,nm0099753,Ludovic Bource,\N,\N,"composer,music_department,actor","tt1655442,tt0765446,tt0464913,tt8968158"
95336,nm0100020,Pieter Bourke,\N,\N,"composer,music_department,soundtrack","tt0140352,tt0248667,tt0369339,tt0298845"
95395,nm0100080,Mel Bourne,1923,2003,"production_designer,art_director,art_department","tt0087781,tt0101889,tt0083190,tt0091474"
95854,nm0100559,Fernando Bovaira,\N,\N,"producer,archive_footage","tt0230600,tt1164999,tt1186830,tt0369702"
96015,nm0100736,Mark Bowden,1951,\N,"writer,producer,miscellaneous","tt0265086,tt1123441,tt0107594,tt6815648"
96104,nm0100831,Deirdre Bowen,\N,\N,"casting_director,casting_department,actress","tt0399146,tt14549466,tt1053424,tt0085407"
96158,nm0100889,Michael Bowen,1958,\N,"actor,soundtrack","tt0266697,tt0844708,tt0119396,tt0351977"
96745,nm0101508,Steve Box,1967,\N,"writer,animation_department,actor","tt0312004,tt0120193,tt0120630,tt0135104"
96791,nm0101555,Shabbir Boxwala,\N,\N,"producer,writer,production_designer","tt10295212,tt0119239,tt0285958,tt1179781"
96833,nm0101603,Lombardo Boyar,1973,\N,"actor,producer,archive_sound","tt0366548,tt0222851,tt1830713,tt2103281"
96938,nm0101710,Billy Boyd,1968,\N,"actor,music_department,producer","tt0167260,tt0120737,tt0167261,tt0387575"
97024,nm0101801,F.X. Toole,1930,2002,writer,"tt0405159,tt0059296"
97204,nm0101991,Philippa Boyens,\N,\N,"writer,producer,soundtrack","tt0120737,tt0167260,tt0167261,tt0360717"
97209,nm0101997,Adam Boyer,\N,\N,"actor,writer,director","tt3263904,tt1276104,tt1311067,tt0818742"
97504,nm0102316,Peter Boyle,1946,\N,"editor,editorial_department,sound_department","tt0274558,tt0180073,tt0102798,tt0119925"
97681,nm0102508,Ron Bozman,\N,\N,"producer,assistant_director,production_manager","tt0102926,tt0327162,tt0457433,tt0308383"
97695,nm0102522,Petar Bozovic,1946,\N,"actor,director,archive_footage","tt0079985,tt0094242,tt0081580,tt0756216"
97868,nm0102699,John Brace,\N,\N,"casting_director,casting_department,miscellaneous","tt0413573,tt1440129,tt0143145,tt0120890"
98336,nm0103195,David Bradley,1942,\N,"actor,location_management,soundtrack","tt1213663,tt0425112,tt1201607,tt1488589"
98811,nm0103702,Pam Brady,\N,\N,"producer,writer,miscellaneous","tt0121955,tt0158983,tt1104733,tt13610562"
98902,nm0103797,Alice Braga,1983,\N,"actress,producer,director","tt0480249,tt1424381,tt1535108,tt1053424"
98909,nm0103804,Brannon Braga,1965,\N,"producer,writer,director","tt0111280,tt0092455,tt0117731,tt1441135"
99053,nm0103956,Henry Braham,1965,\N,"cinematographer,camera_department,miscellaneous","tt0385752,tt6791350,tt0918940,tt0439572"
99073,nm0103976,Brahmaji,1965,\N,actor,"tt9389998,tt7392212,tt13927994,tt1756476"
99074,nm0103977,Brahmanandam,1956,\N,"actor,music_department,soundtrack","tt1756476,tt3142764,tt5457772,tt0471571"
99143,nm0104051,Justin Braine,\N,\N,actor,"tt0117631,tt0108709,tt0138574,tt0088580"
99216,nm0104125,An Dorthe Braker,1945,\N,"casting_director,casting_department,actress","tt0130827,tt0765432,tt0250258,tt0363163"
99421,nm0104335,John Brancato,1958,\N,"writer,producer,actor","tt0119174,tt0113957,tt0181852,tt0986263"
99659,nm0104594,Larry Brandenburg,1948,\N,"actor,archive_sound","tt0120669,tt0116282,tt0094226,tt0111161"
99837,nm0104783,Maryann Brandon,\N,\N,"editor,producer,editorial_department","tt2488496,tt1355644,tt1650062,tt0285333"
100010,nm0104973,Michael Brandt,1968,\N,"producer,writer,director","tt0381849,tt10720352,tt2261391,tt0493464"
100192,nm0105169,Ash Brannon,1969,\N,"writer,producer,animation_department","tt11126994,tt0423294,tt0120363"
100319,nm0105308,Ulf Brantås,1957,\N,"cinematographer,camera_department,assistant_director","tt3750872,tt0995832,tt0203166,tt5269594"
100355,nm0105346,Gianluigi Braschi,1963,2008,"producer,miscellaneous","tt0118799,tt0419198,tt0110570,tt0102164"
100662,nm0105672,Andre Braugher,1962,2023,"actor,producer,director","tt0106028,tt0186151,tt0884328,tt0120632"
101594,nm0106654,Mona Mur,1960,\N,"composer,actress,music_department","tt0347048,tt0087129,tt0095417,tt0133397"
101645,nm0106709,Johnny Breedt,\N,\N,"production_designer,art_department,art_director","tt2304771,tt1706593,tt4154916,tt2057392"
101764,nm0106835,Anthony Bregman,\N,\N,"producer,production_manager,executive","tt0338013,tt1100089,tt1321510,tt7939766"
101769,nm0106840,Martin Bregman,1926,2018,"producer,actor,archive_footage","tt0072890,tt0111143,tt0180052,tt0098273"
101770,nm0106841,Michael Bregman,\N,\N,"producer,director,manager","tt0111143,tt0180052,tt0098273,tt0119807"
101896,nm0106969,Al Breitenbach,\N,\N,"editor,editorial_department,music_department","tt0106364,tt0086764,tt0098929,tt0115378"
102140,nm0107231,Greg Brenman,\N,\N,"producer,miscellaneous,writer","tt0249462,tt4602768,tt0144728,tt2442560"
102168,nm0107261,Brid Brennan,1955,\N,"actress,soundtrack,archive_footage","tt0120643,tt2381111,tt1770734,tt0082348"
102366,nm0107463,David Brenner,1962,2022,"editor,editorial_department","tt0116629,tt1630029,tt0096969,tt1190080"
102394,nm0107493,Marie Brenner,1949,\N,"writer,producer,miscellaneous","tt0140352,tt3513548,tt2368254,tt1259550"
102396,nm0107495,Matthias Brenner,1957,\N,actor,"tt0405094,tt1700257,tt2172139,tt4123432"
102410,nm0107509,Robbie Brenner,\N,\N,"producer,miscellaneous,production_manager","tt1517268,tt0790636,tt0758730,tt6513656"
102648,nm0107760,James Bresnahan,\N,\N,"animation_department,art_department,director","tt0118583,tt5814534,tt0268380,tt0358082"
102662,nm0107774,Eric Bress,\N,\N,"writer,producer,director","tt0289879,tt6508228,tt0309593,tt1144884"
102919,nm0108041,Torsten Breuer,\N,\N,"cinematographer,composer,camera_department","tt1063669,tt0384369,tt1692504,tt0118682"
103286,nm0108436,Dominique Briand,1942,\N,actor,"tt0364045,tt1255953,tt0076960,tt0075774"
103534,nm0108703,Sean Bridgers,1968,\N,"actor,director,writer","tt3170832,tt1714208,tt1124037,tt0256415"
103600,nm0108775,Mark Bridges,\N,\N,"costume_designer,costume_department,production_designer","tt1655442,tt5776858,tt1791528,tt0118749"
103623,nm0108802,Verda Bridges,1961,\N,"actress,make_up_department","tt0825232,tt0094894,tt0150167,tt0106079"
103644,nm0108825,Richard Bridgland,\N,\N,"production_designer,art_director,costume_designer","tt3799694,tt0370263,tt1188729,tt0822847"
104067,nm0109267,Irena Brignull,\N,\N,"writer,script_department,miscellaneous","tt0787474,tt1754656,tt0138097,tt6324278"
104162,nm0109366,Pierre-Luc Brillant,1978,\N,"actor,director,writer","tt0401085,tt8449092,tt9064110,tt0420433"
104360,nm0109578,Chris Brinker,1970,2013,"producer,director,actor","tt0144117,tt1300851,tt2350892,tt0187761"
104499,nm0109726,Jon Brion,1963,\N,"composer,music_department,actor","tt0338013,tt1386588,tt0838283,tt1758830"
104556,nm0109785,Brent Briscoe,1961,2017,"actor,writer,miscellaneous","tt0166924,tt0120324,tt0120689,tt0117666"
104927,nm0110168,Connie Britton,1967,\N,"actress,producer,soundtrack","tt3316948,tt1307068,tt2281375,tt1371150"
105084,nm0110331,Laura Bro,1973,\N,actress,"tt1276419,tt6742252,tt3841424,tt0850644"
105087,nm0110334,Nicolas Bro,1972,\N,"actor,assistant_director,cinematographer","tt11655202,tt0418455,tt0378215,tt2436046"
105109,nm0110357,Graham Broadbent,\N,\N,"producer,executive","tt5027774,tt21192142,tt11813216,tt0780536"
105232,nm0110483,Barbara Broccoli,1960,\N,"producer,assistant_director,executive","tt1074638,tt0381061,tt2382320,tt0113189"
105237,nm0110488,Brigitte Broch,1943,\N,"art_director,production_designer,art_department","tt0203009,tt0117509,tt0104029,tt1164999"
105268,nm0110519,Don Brochu,\N,\N,"editor,editorial_department,producer","tt0106977,tt0120461,tt0115857,tt0124298"
105277,nm0110528,Sylvie Brocheré,\N,\N,"casting_director,casting_department,actress","tt0120802,tt0356150,tt0372824,tt0103442"
105338,nm0110591,Jeremy Brock,1959,\N,"writer,director,producer","tt0455590,tt0446687,tt1894476,tt0119280"
105471,nm0110735,Roy Brocksmith,1945,2001,"actor,soundtrack","tt0100802,tt0101452,tt0098621,tt0098439"
105732,nm0111013,Adam Brody,1979,\N,"actor,producer,writer","tt0362359,tt7798634,tt0356910,tt0419843"
106305,nm0111632,Jayne Brook,\N,\N,"actress,soundtrack,archive_footage","tt5171438,tt0402711,tt0108724,tt0119177"
106321,nm0111649,Michael Brook,1952,\N,"composer,music_department,actor","tt0758758,tt0964517,tt2381111,tt1606389"
106601,nm0111944,David Allen Brooks,1947,\N,actor,"tt0091474,tt0162222,tt0149437,tt0101761"
106847,nm0112207,Randy Brooks,1950,\N,"actor,writer,producer","tt0105236,tt0094894,tt0092585,tt0115285"
107019,nm0112390,Anthony Brophy,\N,\N,actor,"tt14369780,tt0118972,tt5932728,tt0107207"
107029,nm0112400,Jed Brophy,1963,\N,"actor,miscellaneous,stunts","tt0903624,tt1136608,tt0167261,tt0103873"
107530,nm0112932,Neil Brown Jr.,\N,\N,"actor,stunts,producer","tt6473344,tt5024912,tt1398426,tt4047038"
107671,nm0113084,Barry Alexander Brown,1960,\N,"editor,director,editorial_department","tt0097216,tt7349662,tt0454848,tt0435651"
107928,nm0113360,David Brown,1916,2010,"producer,archive_footage","tt0105151,tt0088933,tt0120647,tt0073195"
108150,nm0113595,Garrett M. Brown,1948,\N,"actor,writer","tt7820906,tt0098554,tt1250777,tt1650554"
108227,nm0113676,H. Rap Brown,1943,\N,archive_footage,"tt0064312,tt15334696,tt11847040,tt4176756"
108240,nm0113689,Harry Brown,1917,1986,writer,"tt0043924,tt0041841,tt0054135,tt0240772"
108308,nm0113764,Jaki Brown,\N,\N,"casting_director,casting_department,producer","tt0101507,tt0104573,tt0114608,tt0119396"
108535,nm0114008,Kenneth A. Brown,1979,\N,"actor,director","tt0103919,tt0101507,tt9910694,tt0130172"
108729,nm0114213,Martin Brown,\N,\N,"producer,art_director,production_designer","tt0203009,tt0117509,tt0105488,tt0918639"
108864,nm0114352,Nicole Brown,1980,\N,"actress,producer,executive","tt0101507,tt1307068,tt1306980,tt0981227"
108873,nm0114361,Norman Patrick Brown,\N,\N,"actor,producer,director","tt0120863,tt0112515,tt0486531,tt16373746"
109027,nm0114526,Riwia Brown,\N,\N,"writer,actress,director","tt0110729,tt0113088,tt0367960,tt0109333"
109761,nm0115310,William Broyles Jr.,1944,\N,"writer,miscellaneous,producer","tt0112384,tt0162222,tt0133152,tt0418689"
109974,nm0115537,Lisa Bruce,\N,\N,"producer,production_manager,miscellaneous","tt4555426,tt2980516,tt1411238,tt12298506"
110118,nm0115690,Karl Bruckschwaiger,\N,\N,actor,"tt0112471,tt0175767,tt1523395"
110182,nm0115760,Amanda Brugel,1978,\N,"actress,writer,producer","tt5834204,tt5912064,tt19231492,tt10365998"
110186,nm0115764,Pieter Jan Brugge,1956,\N,"producer,production_manager,director","tt1542344,tt0140352,tt0430357,tt1034303"
110218,nm0115797,Achille Brugnini,\N,\N,"actor,archive_footage","tt8404614,tt0092298,tt5096470,tt0117364"
110533,nm0116125,Thomas Brunelle,\N,\N,"miscellaneous,actor,camera_department","tt0100157,tt0413267,tt0120587,tt0308878"
110617,nm0116212,Sophie Brunet,\N,\N,"editor,editorial_department","tt2278871,tt7336842,tt7680918,tt11469918"
110636,nm0116232,Dana Brunetti,1973,\N,"producer,miscellaneous","tt1285016,tt1535109,tt4495098,tt2322441"
110661,nm0116257,Carla Bruni,1967,\N,"music_department,composer,actress","tt1605783,tt1022603,tt0410297,tt0306734"
110762,nm0116369,Didier Brunner,\N,\N,"producer,writer,production_manager","tt0286244,tt1816518,tt5198068,tt7014378"
111390,nm0117035,Adam Bryant,\N,\N,"miscellaneous,actor","tt0107614,tt0278504,tt0364343,tt0119217"
111530,nm0117188,Michael Bryant,1928,2002,"actor,archive_footage","tt0064382,tt0069198,tt0067483,tt0051994"
111626,nm0117290,Ian Bryce,\N,\N,"producer,assistant_director,production_manager","tt0120815,tt0181875,tt0418279,tt0145487"
111682,nm0117354,Lisa Bryer,1957,\N,"producer,miscellaneous","tt0455590,tt0242527,tt0217824,tt0485780"
111693,nm0117365,Larry Bryggman,1938,\N,"actor,archive_footage","tt0112864,tt0266987,tt0048845,tt0078718"
111709,nm0117381,Eigil Bryld,1971,\N,"cinematographer,camera_department","tt14849194,tt0780536,tt5164214,tt1856010"
111740,nm0117412,Hugh Keays-Byrne,1947,2020,"actor,director,miscellaneous","tt1392190,tt0079501,tt1588398,tt0120756"
111809,nm0117489,Bill Brzeski,\N,\N,"art_director,production_designer,art_department","tt1477834,tt7975244,tt4630562,tt1119646"
112013,nm0117709,Daniel Brühl,1978,\N,"actor,producer,director","tt1979320,tt0361748,tt0301357,tt3498820"
112081,nm0117779,Pasquale Buba,1946,2018,"editor,miscellaneous,editorial_department","tt0077402,tt0113277,tt0108238,tt0112641"
112104,nm0117802,Alexander Bubenheim,1962,\N,"composer,music_department,sound_department","tt0250258,tt0798817,tt0339135,tt1244093"
112211,nm0117911,Carlo Buccirosso,1954,\N,actor,"tt1023490,tt7204006,tt2358891,tt3425772"
112491,nm0118202,Andrew Buckland,\N,\N,"editorial_department,editor,miscellaneous","tt1462764,tt1950186,tt3631112,tt1430132"
112614,nm0118333,Chris Buck,1958,\N,"animation_department,director,writer","tt2294629,tt0423294,tt4520988,tt11304740"
112750,nm0118473,Jason Buckham,\N,\N,actor,"tt0208092,tt0120825,tt0451195"
113000,nm0118729,Paul Buckmaster,1946,2017,"composer,music_department,soundtrack","tt0114746,tt0120082,tt0412080,tt0120762"
113169,nm0118912,Harold Budd,1936,2020,"composer,music_department,soundtrack","tt0116695,tt0380510,tt2238050,tt0370986"
113220,nm0118967,Sven Budelmann,1973,\N,editor,"tt1016150,tt2101473,tt8879894,tt4445154"
113417,nm0119169,Rico Bueno,1947,2016,actor,"tt0185431,tt0272338,tt0118583,tt0118749"
113566,nm0119322,Conrad Buff IV,1948,\N,"editor,visual_effects,editorial_department","tt0120338,tt0103064,tt0096754,tt0146309"
113674,nm0119438,Celso Bugallo,1947,\N,"actor,archive_footage","tt0369702,tt1720099,tt13066182,tt0319769"
113789,nm0119561,Teresa Violetta Buhl,\N,\N,"casting_director,assistant_director,casting_department","tt0101765,tt0095467,tt0111507,tt0084549"
113817,nm0119591,Silke Buhr,1966,\N,"production_designer,art_department,art_director","tt3042408,tt0405094,tt1452297,tt0461694"
114132,nm0119919,Vanja Bulic,\N,\N,"writer,actor,editor","tt0116860,tt0498140,tt0471662,tt1730117"
114157,nm0119946,Alexander Bulkley,\N,\N,"producer,miscellaneous,animation_department","tt1488589,tt0437745,tt0166896,tt1020990"
114502,nm0120317,Henry Bumstead,1915,2006,"art_director,production_designer,actor","tt0327056,tt0418689,tt0052357,tt0070735"
114608,nm0120431,Marie Bunel,1961,\N,"actress,archive_footage","tt0372824,tt0098238,tt0106618,tt0167524"
114658,nm0120483,Edward Bunker,1933,2005,"actor,writer,miscellaneous","tt0105236,tt0089941,tt0398165,tt0098439"
115251,nm0121117,Mark Burg,1959,\N,"producer,actor,miscellaneous","tt0369179,tt0387564,tt0251160,tt0963194"
115405,nm0121281,Don Burgess,1956,\N,"cinematographer,camera_department,actor","tt0109830,tt0162222,tt0118884,tt3065204"
115673,nm0121559,Robert John Burke,1960,\N,"actor,archive_footage","tt0107978,tt0117894,tt0270288,tt1656190"
115828,nm0121724,Jim Burke,\N,\N,"producer,actor,executive","tt6966692,tt1033575,tt0126886,tt1389072"
115891,nm0121793,Marylouise Burke,1941,\N,"actress,archive_footage","tt1045772,tt0375063,tt0119643,tt0120533"
116057,nm0121972,Gedeon Burkhard,1969,\N,"actor,director,writer","tt0361748,tt0108829,tt0107330,tt3757374"
116313,nm0122238,Leo Burmester,1944,2007,"actor,soundtrack,archive_footage","tt0096754,tt0118971,tt0107808,tt0116905"
116402,nm0122334,Alan Burnett,1949,\N,"producer,writer,miscellaneous","tt0147746,tt0115378,tt0398417,tt0106364"
116500,nm0122439,T Bone Burnett,1948,\N,"music_department,composer,producer","tt1392170,tt1263670,tt0190590,tt0159365"
116701,nm0122653,Edward Burns,1968,\N,"writer,actor,producer","tt0120815,tt0117628,tt0112585,tt0491109"
117192,nm0123178,Tony Burrough,\N,\N,"production_designer,art_department","tt0114279,tt0183790,tt0349710,tt0119223"
117272,nm0123262,David Burrows,\N,\N,"editorial_department,editor,actor","tt1490017,tt4116284,tt7504818,tt1219342"
117311,nm0123305,Victoria Burrows,\N,\N,"casting_director,casting_department,actress","tt0120737,tt0167260,tt0167261,tt1907668"
117426,nm0123426,Donald Graham Burt,\N,\N,"production_designer,art_department","tt0421715,tt10618286,tt1568346,tt1136617"
117548,nm0123553,Corey Burton,1955,\N,"actor,miscellaneous,director","tt0092106,tt0230011,tt0119282,tt1568322"
117623,nm0123632,Kate Burton,1957,\N,"actress,archive_footage","tt0090728,tt0250797,tt0486674,tt0467197"
117656,nm0123666,Mark Burton,\N,\N,"writer,miscellaneous,producer","tt2872750,tt0312004,tt0351283,tt0377981"
117764,nm0123785,Ben Burtt,1948,\N,"sound_department,miscellaneous,editor","tt0910970,tt0076759,tt0120915,tt1650062"
118094,nm0124132,George Bush,1924,2018,"archive_footage,archive_sound","tt2148554,tt13465736,tt0104244,tt0346254"
118095,nm0124133,George W. Bush,1946,\N,"camera_department,miscellaneous,soundtrack","tt0312848,tt0282195,tt0115147,tt1413218"
118167,nm0124208,Sophia Bush,1982,\N,"actress,producer,director","tt0455967,tt0455960,tt0368530,tt0441796"
118197,nm0124239,David Bushell,\N,\N,"producer,production_manager,director","tt0117666,tt0338013,tt0800240,tt0790636"
118398,nm0124453,Reinout Bussemaker,1959,\N,actor,"tt8633462,tt6917210,tt4246894,tt0112379"
118521,nm0124579,Humberto Busto,1978,\N,"actor,director,writer","tt5049580,tt7414954,tt6692188,tt0245712"
118656,nm0124728,Mitchell Butel,\N,\N,"actor,director,writer","tt0118929,tt1131724,tt0201951,tt3958652"
118845,nm0124930,Gerard Butler,1969,\N,"actor,producer,camera_department","tt0416449,tt0293508,tt1197624,tt1038919"
118992,nm0125084,Paul Butler,1942,2010,actor,"tt0490204,tt0104348,tt0100514,tt0292963"
119218,nm0125320,Mike Butters,\N,\N,"actor,stunts,producer","tt0387564,tt1132626,tt0890870,tt0131857"
119233,nm0125336,Jez Butterworth,1969,\N,"writer,producer,actor","tt1631867,tt1950186,tt0977855,tt1355683"
119273,nm0125379,Haymon Maria Buttinger,1953,\N,"actor,art_department,art_director","tt0112471,tt0108052,tt6763252,tt0087008"
119310,nm0125419,Matthew Button,1970,\N,"production_designer,art_department,art_director","tt3262342,tt0146316,tt1422136,tt3457508"
119317,nm0125426,Pat Buttram,1915,1994,"actor,writer,soundtrack","tt0070608,tt0082406,tt0099088,tt0065421"
119522,nm0125637,Jackamoe Buzzell,1972,\N,"actor,miscellaneous,producer","tt2582782,tt6412452,tt3032476,tt14895206"
119707,nm0125832,Melissa Byers,1956,1996,archive_footage,tt0117293
119887,nm0126021,Eugene Byrd,1975,\N,"actor,producer,miscellaneous","tt0366174,tt0117665,tt0112817,tt0298203"
120109,nm0126260,P.J. Byrne,\N,\N,"actor,writer,director","tt10640346,tt0993846,tt1190634,tt3920596"
120132,nm0126284,Rose Byrne,1979,\N,"actress,producer,soundtrack","tt3079380,tt1591095,tt1478338,tt2004420"
120472,nm0126653,Willi Bär,\N,\N,"producer,writer,production_designer","tt0111143,tt0159097,tt0106519,tt0263488"
120634,nm0126825,Yves Bélanger,1960,\N,"cinematographer,camera_department","tt2381111,tt0790636,tt2305051,tt2543164"
121195,nm0127429,Eugenio Caballero,1972,\N,"production_designer,set_decorator,art_department","tt0457430,tt6155172,tt3416532,tt1649419"
121434,nm0127680,Christina Cabot,1969,\N,"actress,producer,writer","tt21052144,tt0800080,tt0141842,tt0137523"
122142,nm0128412,Carla Caffé,\N,\N,"art_director,production_designer,director","tt13455606,tt0140888,tt0180837,tt0355809"
122858,nm0129159,Mesut Çakarli,1971,\N,actor,"tt0270053,tt0491315,tt0491321,tt0491992"
122868,nm0129169,Sahnaz Çakiralp,1975,\N,actress,"tt0265144,tt0421513,tt0425333,tt1147691"
122967,nm0129269,Sharon Calahan,\N,\N,"visual_effects,camera_department,cinematographer","tt0401729,tt0120623,tt7146812,tt1979388"
